YEAR,BANKS, TOTAL ASSETS , DEPOSITS DOMESTIC DEMAND , TOTAL DEPOSITS , TOTAL FOREIGN DEPOSITS , INTEREST BEARING DEPOSITS , FOREIGN DEPOSITS - INTEREST BEARING , DEPOSITS - NON-INTEREST BEARING , FOREIGN DEPOSITS - NON INTEREST BEARING , TOTAL EQUITY CAPITAL , NET INCOME ," DEPOSITS - INDIVIDUALS, PARTNERSHIPS AND CORPORATIONS ", DEPOSITS - US GOVT , DEPOSITS - STATE & POLITICAL SUB-DIVISIONS , DEPOSITS - ALL OTHER , DEPOSITS - DOMESTIC SAVINGS , TOTAL DOMESTIC DEPOSITS , DOMESTIC DEPOSITS - NON-TRANSACTION , DEPOSITS - DOMESTIC TIME , DOMESTIC DEPOSITS - TRANSACTION,LOCATIONS
2018,4717,"16,728,218,860.00","1,724,998,149.00","12,898,516,956.00","1,253,300,918.00","9,729,139,902.00","1,136,263,821.00","3,169,377,043.00","117,037,095.00","1,888,558,821.00","222,032,441.00","11,813,352,962.00","3,731,173.00","517,589,263.00","563,843,558.00","8,174,273,501.00","11,645,216,030.00","9,549,049,419.00","1,745,944,380.00","2,096,166,611.00",United States & Other Areas
2017,4918,"16,217,837,830.00","1,681,616,172.00","12,467,586,531.00","1,317,594,804.00","9,181,460,133.00","1,196,474,985.00","3,286,126,440.00","121,119,820.00","1,824,950,758.00","151,745,229.00","11,411,764,307.00","3,828,972.00","511,274,327.00","540,718,925.00","7,957,428,897.00","11,149,991,730.00","9,125,307,044.00","1,510,946,661.00","2,024,684,686.00",United States & Other Areas
2016,5112,"15,627,737,030.00","1,592,931,789.00","11,982,312,148.00","1,245,578,949.00","8,800,151,248.00","1,135,662,990.00","3,182,160,925.00","109,915,959.00","1,737,945,840.00","156,919,798.00","11,024,817,199.00","3,752,892.00","501,395,627.00","452,346,430.00","7,707,735,749.00","10,736,733,203.00","8,816,751,876.00","1,436,065,665.00","1,919,981,327.00",United States & Other Areas
2015,5340,"14,893,214,772.00","1,493,418,751.00","11,349,503,567.00","1,281,997,023.00","8,320,140,393.00","1,180,164,205.00","3,029,363,204.00","101,832,818.00","1,675,818,834.00","151,896,097.00","10,424,804,609.00","4,114,806.00","490,270,636.00","430,313,516.00","7,107,479,959.00","10,067,506,566.00","8,255,263,551.00","1,466,607,856.00","1,812,243,015.00",United States & Other Areas
2014,5607,"14,474,657,532.00","1,435,921,613.00","10,938,732,842.00","1,393,368,957.00","8,056,677,809.00","1,291,043,867.00","2,882,055,034.00","102,325,088.00","1,606,757,767.00","140,189,718.00","9,985,108,503.00","4,719,031.00","483,985,814.00","464,919,494.00","6,618,266,347.00","9,545,363,885.00","7,804,586,605.00","1,491,175,925.00","1,740,777,280.00",United States & Other Areas
2013,5847,"13,673,056,712.00","1,319,237,999.00","10,385,833,653.00","1,401,024,968.00","7,738,894,167.00","1,298,134,369.00","2,646,939,512.00","102,890,597.00","1,518,720,502.00","143,110,234.00","9,460,823,790.00","3,238,076.00","459,414,082.00","462,357,705.00","6,256,253,293.00","8,984,808,670.00","7,371,085,354.00","1,409,317,378.00","1,613,723,316.00",United States & Other Areas
2012,6072,"13,387,499,239.00","1,196,934,622.00","10,012,097,628.00","1,370,180,658.00","7,434,904,601.00","1,265,285,229.00","2,577,193,043.00","104,895,431.00","1,486,828,390.00","130,041,412.00","9,099,944,111.00","3,436,326.00","433,748,878.00","474,968,313.00","5,966,927,250.00","8,641,916,965.00","7,150,677,463.00","1,478,055,093.00","1,491,239,502.00",United States & Other Areas
2011,6275,"12,650,468,093.00","1,031,416,414.00","9,258,874,267.00","1,428,229,999.00","6,954,774,341.00","1,332,496,425.00","2,304,099,952.00","95,733,575.00","1,403,801,650.00","110,182,982.00","8,376,805,135.00","2,844,236.00","425,996,749.00","453,228,147.00","5,272,871,999.00","7,830,644,239.00","6,522,520,114.00","1,526,355,826.00","1,308,124,125.00",United States & Other Areas
2010,6519,"12,069,442,602.00","705,919,084.00","8,517,722,866.00","1,549,552,066.00","6,796,496,399.00","1,465,719,267.00","1,721,226,498.00","83,832,799.00","1,337,851,761.00","77,427,236.00","7,739,936,642.00","3,719,965.00","389,438,266.00","384,627,993.00","4,609,764,588.00","6,968,170,786.00","6,000,779,766.00","1,652,487,114.00","967,391,020.00",United States & Other Areas
2009,6829,"11,826,781,868.00","651,695,730.00","8,336,603,049.00","1,529,873,741.00","6,768,554,566.00","1,465,106,362.00","1,568,048,528.00","64,767,378.00","1,288,433,453.00","-11,619,811.00","7,481,062,705.00","3,837,409.00","384,185,346.00","467,517,589.00","4,148,031,113.00","6,806,729,299.00","5,898,915,121.00","2,007,002,456.00","907,814,178.00",United States & Other Areas
